drug,n_cells,spearman_model,spearman_resid,spearman_resid_p1,spearman_baseline,spearman_resid_p2
UMI-77,20,-0.06466165413533834,0.03458646616541353,-0.193984962406015,-1.0,-0.17142857142857143
UNC0379,19,0.19473684210526312,0.28771929824561404,0.07017543859649124,-1.0,0.05964912280701754
UNC0638,18,0.34365325077399383,0.38080495356037153,0.13519091847265222,-1.0,0.21362229102167182
Ulixertinib,42,0.08790498493072192,0.24011684536888153,0.04046548660556295,-0.7850454977204507,0.09244245082662036
Uprosertib,41,-0.10321683937074491,0.1674658348236495,0.11438040625719229,-0.9438538896640527,0.02798361945777797
VE-822,20,-0.09022556390977443,0.09924812030075188,-0.0781954887218045,-1.0,-0.0706766917293233
VE821,21,0.07272727272727272,0.17142857142857143,-0.1012987012987013,-1.0,-0.14025974025974028
VX-11e,21,0.0038961038961038965,0.11298701298701298,0.006493506493506493,-1.0,0.025974025974025972
Veliparib,21,0.38051948051948054,0.42207792207792205,0.2922077922077922,-1.0,0.2792207792207792
Venetoclax,21,0.18311688311688312,0.2714285714285714,0.14025974025974028,-1.0,0.05454545454545454
Vinblastine,20,-0.04060150375939849,0.051127819548872175,-0.29473684210526313,-1.0,-0.22406015037593985
Vinorelbine,21,0.11688311688311687,0.2038961038961039,-0.22857142857142856,-1.0,-0.18571428571428572
Vismodegib,21,0.32857142857142857,0.38571428571428573,0.1974025974025974,-1.0,0.2727272727272727
Vorinostat,21,0.15714285714285717,0.2675324675324675,-0.0961038961038961,-1.0,-0.1935064935064935
WEHI-539,20,-0.18496240601503755,-0.006015037593984962,0.16691729323308271,-1.0,0.15939849624060148
WIKI4,21,0.15584415584415584,0.23896103896103899,0.30129870129870134,-1.0,0.23896103896103899
WZ4003,20,0.44060150375939844,0.5067669172932331,0.2541353383458646,-1.0,0.29774436090225564
Wee1 Inhibitor,21,0.08311688311688312,0.14675324675324675,-0.2,-1.0,-0.37532467532467534
Wnt-C59,20,0.362406015037594,0.4285714285714286,0.11428571428571428,-1.0,0.24060150375939846
XAV939,20,0.4766917293233082,0.5548872180451127,0.39097744360902253,-1.0,0.24360902255639094
YK-4-279,21,0.1935064935064935,0.3337662337662338,-0.016883116883116882,-1.0,-0.07142857142857142
ZM447439,21,0.5376623376623377,0.6402597402597403,0.3701298701298701,-1.0,0.3922077922077922
Zoledronate,19,0.5070175438596491,0.5964912280701754,0.28596491228070176,-1.0,0.3666666666666667
alpha-lipoic acid,20,0.1413533834586466,0.2300751879699248,0.5157894736842105,-1.0,0.362406015037594
glutathione,20,0.08721804511278194,0.15789473684210525,0.18496240601503755,-1.0,0.23759398496240602
