drug,n_cells,spearman_model,spearman_resid,spearman_resid_p1,spearman_baseline
Sabutoclax,20,0.4015037593984962,0.6090225563909774,-0.2556390977443609,-1.0
Sapitinib,21,0.2662337662337662,0.3675324675324675,0.37272727272727274,-1.0
Savolitinib,21,0.3844155844155844,0.4077922077922078,0.2662337662337662,-1.0
Schweinfurthin A,19,0.3298245614035088,0.3649122807017544,0.42280701754385963,-1.0
Selumetinib,40,0.5080514673075214,0.5518052990882096,0.4040187513997901,-0.9386417517415062
Sepantronium bromide,21,-0.11948051948051949,0.10259740259740259,0.00909090909090909,-1.0
Serdemetan,21,0.34935064935064936,0.38311688311688313,0.20649350649350648,-1.0
Sinularin,19,0.2157894736842105,0.41052631578947374,0.2070175438596491,-1.0
Sorafenib,21,-0.11688311688311687,0.01038961038961039,-0.05584415584415584,-1.0
Staurosporine,21,0.04285714285714286,0.13376623376623376,-0.2558441558441559,-1.0
TW 37,10,0.2121212121212121,0.4787878787878787,0.2606060606060606,-0.9999999999999999
Talazoparib,21,-0.17922077922077922,-0.15714285714285717,-0.4194805194805195,-1.0
Tamoxifen,21,0.32727272727272727,0.4090909090909091,0.27662337662337666,-1.0
Tanespimycin,21,-0.025974025974025972,0.20519480519480518,-0.05584415584415584,-1.0
Taselisib,21,0.16233766233766234,0.33506493506493507,0.35584415584415585,-1.0
Telomerase Inhibitor IX,21,0.17012987012987013,0.24935064935064938,-0.01038961038961039,-1.0
Temozolomide,21,0.3675324675324675,0.41558441558441556,0.33896103896103896,-1.0
Temsirolimus,21,-0.31428571428571433,-0.16493506493506493,0.05844155844155843,-1.0
Teniposide,19,0.18771929824561404,0.38245614035087716,-0.30701754385964913,-1.0
Topotecan,19,0.02631578947368421,0.1842105263157895,-0.3456140350877193,-1.0
Tozasertib,20,-0.2721804511278195,-0.13082706766917293,-0.29774436090225564,-1.0
Trametinib,21,0.5584415584415584,0.6285714285714287,0.5298701298701299,-1.0
UMI-77,20,-0.09624060150375939,-0.021052631578947364,-0.19248120300751878,-1.0
UNC0379,19,0.2456140350877193,0.30877192982456136,0.07719298245614034,-1.0
UNC0638,18,0.40144478844169246,0.479876160990712,0.18059855521155832,-1.0
Ulixertinib,42,0.080126544602046,0.21118372686612125,0.020679594830271104,-0.7850454977204507
Uprosertib,41,-0.07532368216937052,0.12571383065767627,0.05597212240571972,-0.9438538896640527
VE-822,20,-0.05563909774436089,0.09624060150375939,-0.09924812030075188,-1.0
VE821,21,0.062337662337662345,0.17662337662337665,-0.12077922077922078,-1.0
VX-11e,21,0.05454545454545454,0.16753246753246753,0.02077922077922078,-1.0
Veliparib,21,0.3987012987012987,0.46623376623376617,0.3168831168831169,-1.0
Venetoclax,21,0.13896103896103898,0.28181818181818186,0.11168831168831168,-1.0
Vinblastine,20,-0.09924812030075188,0.04962406015037594,-0.362406015037594,-1.0
Vinorelbine,21,0.09220779220779221,0.14935064935064934,-0.29480519480519485,-1.0
Vismodegib,21,0.374025974025974,0.448051948051948,0.2025974025974026,-1.0
Vorinostat,21,0.09480519480519481,0.2571428571428571,-0.11428571428571428,-1.0
WEHI-539,20,-0.2120300751879699,-0.022556390977443608,0.20300751879699244,-1.0
WIKI4,21,0.125974025974026,0.2025974025974026,0.3194805194805195,-1.0
WZ4003,20,0.49624060150375937,0.5218045112781955,0.29172932330827067,-1.0
Wee1 Inhibitor,21,0.029870129870129873,0.09090909090909091,-0.24155844155844156,-1.0
Wnt-C59,20,0.3759398496240601,0.4766917293233082,0.12180451127819547,-1.0
XAV939,20,0.49022556390977434,0.5157894736842105,0.38646616541353385,-1.0
YK-4-279,21,0.12077922077922078,0.31428571428571433,-0.06493506493506493,-1.0
ZM447439,21,0.5662337662337662,0.6610389610389611,0.36363636363636365,-1.0
Zoledronate,19,0.519298245614035,0.5929824561403508,0.3017543859649123,-1.0
alpha-lipoic acid,20,0.17293233082706763,0.2601503759398496,0.5172932330827067,-1.0
glutathione,20,0.1263157894736842,0.1819548872180451,0.14586466165413534,-1.0
